Match_Type,God_Name,Kills,Deaths,Assists,Item1,Item2,Item3,Item4,Item5,Item6
Joust,Ra,7,5,12,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,6,5,3,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tyr,5,3,22,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Horus,1,6,8,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ra,5,8,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Horus,5,2,9,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ra,7,6,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Neith,4,3,10,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Medusa,7,4,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,6,3,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nut,3,4,6,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Nut,4,4,17,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Horus,0,2,12,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Horus,3,0,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Sylvanus,4,5,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nut,6,5,7,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Hades,9,6,12,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Hades,7,9,3,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Nike,4,10,16,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Izanami,7,9,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Erlang Shen,1,8,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Atlas,1,2,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Susano,3,8,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Susano,3,9,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nu Wa,5,5,5,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Poseidon,13,22,11,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ymir,2,6,17,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Neith,4,10,8,N/A,N/A,N/A,N/A,N/A,N/A
Slash,Ymir,1,11,2,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Hachiman,1,9,11,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ymir,2,10,14,N/A,N/A,N/A,N/A,N/A,N/A
Slash,Ix Chel,4,16,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,2,2,4,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Nu Wa,8,9,27,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tyr,1,11,8,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Nut,8,9,7,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Chang'e,2,4,12,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ymir,2,9,8,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Geb,9,5,7,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ix Chel,5,11,12,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Awilix,2,13,10,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Kukulkan,1,2,4,N/A,N/A,N/A,N/A,N/A,N/A
Assault,The Morrigan,4,11,11,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Da Ji,2,6,16,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ix Chel,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ymir,6,3,19,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Freya,5,2,15,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Heimdallr,2,5,2,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Cliodhna,7,4,23,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Nu Wa,10,4,21,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ares,5,6,15,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Erlang Shen,3,17,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,2,9,9,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,3,0,10,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,3,6,5,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Shiva,1,10,17,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,0,8,10,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Tyr,0,11,4,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Rama,7,7,9,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ares,6,1,26,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Nut,8,10,26,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Medusa,5,9,18,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Charybdis,2,7,7,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tyr,10,6,18,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Fafnir,3,7,20,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,6,4,10,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Zeus,1,13,13,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Persephone,5,7,20,N/A,N/A,N/A,N/A,N/A,N/A
Arena,The Morrigan,0,3,8,N/A,N/A,N/A,N/A,N/A,N/A
Assault,The Morrigan,9,8,16,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Serqet,1,9,10,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ymir,3,4,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ymir,3,5,5,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Horus,3,9,23,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Nut,4,10,3,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Persephone,8,11,31,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Erlang Shen,10,12,22,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Nu Wa,10,11,17,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Nut,2,3,0,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Nut,4,6,17,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Ravana,1,4,3,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Camazotz,13,5,18,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ymir,5,10,12,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ix Chel,6,4,12,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Sun Wukong,3,9,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Yemoja,2,3,0,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Sylvanus,3,3,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Vulcan,6,6,2,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Vulcan,6,0,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Kukulkan,5,3,2,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ix Chel,7,2,6,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Camazotz,2,7,8,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Tyr,2,5,10,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tyr,8,7,13,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,2,3,7,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Tyr,7,10,25,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Da Ji,15,13,6,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Tyr,3,2,4,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Medusa,4,4,0,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Cliodhna,5,14,10,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,1,0,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,0,5,4,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Hades,7,5,14,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Geb,0,2,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ymir,0,6,8,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Ix Chel,12,10,16,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Horus,7,6,19,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Ix Chel,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Erlang Shen,11,5,7,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Da Ji,4,2,3,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Da Ji,9,9,7,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Da Ji,9,15,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Horus,7,4,7,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Da Ji,2,10,1,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Sylvanus,4,6,15,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Da Ji,16,14,13,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nut,3,5,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nut,3,2,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nut,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nut,4,4,0,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Nut,6,4,15,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nut,8,5,6,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Nut,8,6,21,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nut,10,2,3,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Nut,3,3,16,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Nut,12,7,10,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Heimdallr,9,2,22,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Hades,7,4,21,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ah Muzen Cab,4,0,11,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ix Chel,4,9,11,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ares,1,4,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Hades,3,7,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ah Muzen Cab,4,3,5,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Neith,0,5,18,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Medusa,3,6,10,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Hades,1,7,4,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Sylvanus,3,7,15,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Heimdallr,3,9,10,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Heimdallr,6,7,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Sylvanus,8,4,9,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Vulcan,7,7,8,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Sylvanus,4,5,17,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Olorun,6,7,2,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Olorun,3,2,3,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Olorun,6,8,13,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Olorun,0,5,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ix Chel,6,4,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Hades,8,8,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Arachne,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Neith,2,1,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ix Chel,7,6,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ix Chel,2,9,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ix Chel,2,5,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ix Chel,1,6,1,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ix Chel,2,4,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ix Chel,9,4,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ix Chel,2,5,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Erlang Shen,2,6,0,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Erlang Shen,4,5,0,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Erlang Shen,3,2,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Medusa,0,13,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Hades,6,3,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Neith,1,3,1,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Susano,6,10,3,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Serqet,1,11,6,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Ymir,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Medusa,0,4,2,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ravana,4,9,9,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ravana,1,6,0,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Hachiman,4,7,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ares,3,3,14,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ares,1,1,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Zeus,10,4,5,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Arachne,13,6,2,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Ares,1,3,23,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Arachne,4,8,1,N/A,N/A,N/A,N/A,N/A,N/A
Slash,Achilles,4,6,9,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ra,3,5,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ah Muzen Cab,0,3,2,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ah Muzen Cab,0,7,0,N/A,N/A,N/A,N/A,N/A,N/A
